Status	State	FY 2010	FY 2011	FY 2012	FY 2013	FY 2014	FY 2015	FY 2016	FY 2017	FY 2018	FY 2019
Adopted	Alabama	606.00	447.00	587.00	532.00	544.00	512.00	503.00	504.00	712.00	738.00
Adopted	Alaska	336.00	293.00	309.00	328.00	367.00	357.00	312.00	366.00	353.00	396.00
Adopted	Arizona	2045.00	2275.00	2275.00	2522.00	3090.00	3236.00	3654.00	4298.00	3926.00	3373.00
Adopted	Arkansas	597.00	591.00	703.00	691.00	743.00	740.00	758.00	971.00	1001.00	984.00
Adopted	California	6459.00	5710.00	5938.00	5541.00	5471.00	6079.00	6542.00	6524.00	6966.00	6981.00
Adopted	Colorado	983.00	934.00	905.00	782.00	769.00	820.00	839.00	948.00	910.00	919.00
Adopted	Connecticut	687.00	611.00	490.00	497.00	506.00	573.00	529.00	488.00	497.00	633.00
Adopted	Delaware	67.00	95.00	91.00	112.00	84.00	79.00	99.00	108.00	116.00	129.00
Adopted	District of Columbia	129.00	106.00	114.00	110.00	107.00	106.00	110.00	91.00	100.00	98.00
Adopted	Florida	3391.00	2945.00	3294.00	3417.00	3267.00	3431.00	3573.00	3831.00	4455.00	4714.00
Adopted	Georgia	1196.00	1071.00	915.00	1031.00	887.00	912.00	1121.00	1401.00	1469.00	1668.00
Adopted	Hawaii	216.00	198.00	187.00	160.00	121.00	176.00	129.00	152.00	189.00	206.00
Adopted	Idaho	313.00	259.00	273.00	206.00	218.00	223.00	185.00	258.00	245.00	328.00
Adopted	Illinois	1214.00	1217.00	1803.00	1356.00	1616.00	1788.00	1546.00	1777.00	1754.00	1747.00
Adopted	Indiana	1458.00	1556.00	1713.00	961.00	850.00	1152.00	1536.00	1964.00	2016.00	2489.00
Adopted	Iowa	801.00	864.00	1032.00	917.00	878.00	1017.00	992.00	1006.00	1074.00	1228.00
Adopted	Kansas	694.00	781.00	764.00	674.00	695.00	783.00	870.00	674.00	936.00	1227.00
Adopted	Kentucky	754.00	824.00	784.00	797.00	909.00	961.00	1104.00	1128.00	1124.00	1368.00
Adopted	Louisiana	641.00	641.00	655.00	731.00	622.00	662.00	727.00	766.00	905.00	895.00
Adopted	Maine	276.00	296.00	291.00	214.00	295.00	328.00	399.00	456.00	395.00	294.00
Adopted	Maryland	644.00	539.00	455.00	355.00	344.00	294.00	361.00	348.00	353.00	291.00
Adopted	Massachusetts	725.00	724.00	754.00	799.00	589.00	623.00	669.00	657.00	826.00	998.00
Adopted	Michigan	2597.00	2506.00	2559.00	2374.00	2184.00	1772.00	2078.00	1970.00	1991.00	2161.00
Adopted	Minnesota	627.00	572.00	520.00	583.00	642.00	735.00	899.00	946.00	1284.00	1347.00
Adopted	Mississippi	355.00	358.00	425.00	352.00	314.00	312.00	400.00	364.00	431.00	719.00
Adopted	Missouri	1170.00	1212.00	1228.00	1233.00	1291.00	1357.00	1591.00	1541.00	1798.00	1820.00
Adopted	Montana	191.00	238.00	225.00	165.00	234.00	310.00	260.00	274.00	396.00	482.00
Adopted	Nebraska	437.00	413.00	417.00	586.00	461.00	533.00	483.00	546.00	564.00	560.00
Adopted	Nevada	644.00	821.00	776.00	729.00	729.00	799.00	796.00	740.00	760.00	805.00
Adopted	New Hampshire	173.00	144.00	96.00	110.00	120.00	118.00	87.00	108.00	211.00	278.00
Adopted	New Jersey	1275.00	1089.00	1023.00	927.00	1024.00	1072.00	1185.00	1106.00	1054.00	1162.00
Adopted	New Mexico	420.00	351.00	345.00	310.00	315.00	295.00	306.00	311.00	297.00	336.00
Adopted	New York	2205.00	2214.00	2182.00	2184.00	1997.00	1933.00	1949.00	1762.00	1697.00	1648.00
Adopted	North Carolina	1615.00	1463.00	1329.00	1222.00	1176.00	1311.00	1501.00	1528.00	1522.00	1546.00
Adopted	North Dakota	145.00	119.00	155.00	104.00	96.00	133.00	132.00	162.00	172.00	197.00
Adopted	Ohio	1438.00	1420.00	1250.00	1244.00	1406.00	1334.00	1449.00	1538.00	1566.00	1665.00
Adopted	Oklahoma	1628.00	1294.00	1533.00	1286.00	1382.00	2159.00	2487.00	2593.00	2238.00	2086.00
Adopted	Oregon	780.00	657.00	683.00	768.00	847.00	835.00	768.00	707.00	679.00	792.00
Adopted	Pennsylvania	2365.00	2013.00	1881.00	1892.00	1849.00	1832.00	1917.00	2077.00	2628.00	2849.00
Adopted	Rhode Island	184.00	201.00	191.00	162.00	202.00	211.00	279.00	250.00	254.00	184.00
Adopted	South Carolina	529.00	588.00	776.00	506.00	449.00	403.00	433.00	487.00	435.00	529.00
Adopted	South Dakota	133.00	168.00	126.00	177.00	159.00	121.00	110.00	181.00	183.00	211.00
Adopted	Tennessee	972.00	772.00	813.00	1160.00	1162.00	1112.00	1225.00	1260.00	1248.00	1166.00
Adopted	Texas	4709.00	4718.00	5039.00	5443.00	5221.00	5457.00	5723.00	5361.00	5748.00	6105.00
Adopted	Utah	574.00	577.00	562.00	587.00	605.00	695.00	632.00	665.00	818.00	639.00
Adopted	Vermont	161.00	134.00	172.00	179.00	164.00	189.00	216.00	287.00	262.00	260.00
Adopted	Virginia	747.00	755.00	639.00	709.00	632.00	562.00	627.00	801.00	879.00	769.00
Adopted	Washington	1633.00	1583.00	1227.00	1328.00	1362.00	1484.00	1387.00	1345.00	1331.00	1509.00
Adopted	West Virginia	662.00	698.00	632.00	877.00	852.00	893.00	940.00	1069.00	1399.00	1675.00
Adopted	Wisconsin	755.00	717.00	761.00	800.00	735.00	643.00	669.00	692.00	755.00	711.00
