State	2007	2008	2009	2010	2011
Alabama	23	20	14	13	11
Alaska	4	2	1	3	3
Arizona	28	11	30	20	34
Arkansas	20	21	13	19	12
California	184	185	185	120	123
Colorado	28	32	36	27	31
Connecticut	2	8	4	4	8
Delaware	0	2	3	2	1
District of Columbia	2	8	5	2	3
Florida	153	185	156	180	133
Georgia	61	68	60	77	65
Hawaii	4	2	3	2	2
Idaho	1	2	4	2	3
Illinois	73	69	77	73	82
Indiana	53	34	50	24	34
Iowa	5	11	10	7	10
Kansas	10	10	8	6	10
Kentucky	41	22	34	30	32
Louisiana	27	30	40	30	45
Maine	1	4	2	1	1
Maryland	11	20	17	24	10
Massachusetts	16	21	17		
Michigan		59	58	71	75
Minnesota	17	16	21	14	15
Mississippi	19	17	14	17	13
Missouri	49	42	39	31	36
Montana	1	1	0	0	0
Nebraska	16	17	10	7	7
Nevada	21	17	29	15	19
New Hampshire	5	0	1	1	2
New Jersey	33	29	24	18	22
New Mexico	7	19	10	19	15
New York	96	100	99	114	83
North Carolina				17	19
North Dakota	1	3	2	1	1
Ohio	90	74	79	83	67
Oklahoma	30	31	23	27	38
Oregon	12	14	13	22	19
Pennsylvania	47	45	40	29	37
Puerto Rico	10	2	5	8	18
Rhode Island	0	0	2	2	3
South Carolina	19	21	28	25	15
South Dakota	8	2	4	2	3
Tennessee	44	55	46	38	29
Texas	228	223	279	222	246
Utah	11	15	8	13	11
Vermont	3	1	3	4	2
Virginia	31	37	28	38	36
Washington	27	23	21	12	20
West Virginia	12	5	6	8	16
Wisconsin	22	30	24	21	24
Wyoming	2	1	0	1	1
