State	FY 2010	FY 2011	FY 2012	FY 2013	FY 2014	FY 2015	FY 2016	FY 2017	FY 2018	FY 2019
Alabama	5,350	5,253	4,561	4,435	4,526	4,745	5,053	5,631	5,930	5,783
Alaska	1,791	1,835	1,854	1,982	2,190	2,653	2,824	2,739	2,781	2,879
Arizona	9,930	10,883	13,461	14,399	16,246	17,738	17,118	15,031	13,360	13,330
Arkansas	3,756	3,732	3,711	3,797	3,806	4,548	4,880	4,776	4,234	4,127
California	56,202	54,754	54,553	55,383	56,771	55,983	54,685	51,869	52,337	51,268
Colorado	6,980	6,488	6,003	5,851	5,787	5,644	5,733	5,704	5,542	5,340
Connecticut	4,456	4,926	4,563	4,263	3,921	3,908	4,119	4,135	4,225	4,333
Delaware	739	845	799	702	635	682	780	787	719	576
District of Columbia	2,066	1,431	1,216	1,034	871	873	826	751	707	672
Florida	18,743	19,760	19,536	18,040	19,712	22,364	23,810	24,641	24,404	24,563
Georgia	6,895	7,591	7,671	7,607	9,005	10,935	12,381	13,146	13,793	12,867
Hawaii	1,234	1,122	1,079	1,085	1,221	1,360	1,605	1,607	1,687	1,706
Idaho	1,462	1,354	1,234	1,342	1,208	1,351	1,518	1,593	1,814	1,752
Illinois	18,256	17,189	16,772	16,894	17,049	16,654	16,113	15,930	16,840	18,317
Indiana	12,276	10,779	11,190	12,382	14,452	17,023	19,837	20,904	18,560	16,307
Iowa	6,533	6,344	6,262	6,341	5,978	5,993	5,565	5,952	6,249	5,955
Kansas	5,979	5,852	6,002	6,441	6,762	7,223	7,302	7,753	8,068	8,066
Kentucky	6,983	6,659	6,979	7,162	7,506	7,538	7,739	8,146	9,355	9,148
Louisiana	4,453	4,531	4,044	3,955	4,329	4,545	4,461	4,460	4,562	3,919
Maine	1,546	1,296	1,512	1,787	1,864	1,873	1,837	1,584	1,768	2,096
Maryland	6,098	5,460	4,884	4,467	4,032	3,914	3,841	3,923	3,973	3,840
Massachusetts	8,958	8,619	8,522	8,537	9,937	10,278	10,910	10,916	10,607	9,871
Michigan	16,424	15,091	14,522	14,615	13,512	11,977	11,599	11,918	12,121	11,671
Minnesota	5,063	5,085	5,330	5,641	6,324	7,610	8,793	9,651	9,271	8,400
Mississippi	3,582	3,597	3,699	3,779	4,380	4,773	5,486	5,440	4,703	4,161
Missouri	8,687	9,220	9,985	10,624	11,834	12,160	12,408	12,390	12,659	12,685
Montana	1,723	1,794	1,937	2,232	2,345	2,807	3,366	3,853	3,946	3,697
Nebraska	5,358	5,117	5,116	4,561	3,666	3,725	4,012	4,195	3,524	3,506
Nevada	4,807	4,638	4,745	4,776	4,543	4,489	4,266	4,408	4,532	4,541
New Hampshire	839	742	768	850	890	1,032	1,206	1,474	1,312	1,225
New Jersey	6,892	6,440	6,848	6,946	7,138	6,874	6,527	5,946	5,526	4,430
New Mexico	1,869	1,859	1,914	2,077	2,366	2,471	2,610	2,657	2,508	2,326
New York	26,783	24,962	23,924	22,975	22,422	19,154	17,591	17,345	16,591	16,086
North Carolina	8,828	8,601	8,461	9,036	9,859	10,324	10,561	10,756	10,543	11,223
North Dakota	1,078	1,066	1,109	1,227	1,365	1,359	1,407	1,495	1,576	1,502
Ohio	11,940	12,069	11,877	12,223	12,519	13,205	13,725	14,961	15,730	16,387
Oklahoma	7,846	8,287	9,120	10,535	11,457	11,163	10,062	9,315	8,642	8,306
Oregon	9,001	8,531	8,686	8,202	7,395	7,388	7,631	7,972	7,577	6,994
Pennsylvania	21,342	14,315	14,515	14,270	14,838	16,081	16,086	16,891	16,566	15,526
Rhode Island	2,086	1,806	1,707	1,789	1,798	1,838	1,654	1,846	2,003	2,200
South Carolina	4,487	3,821	3,113	3,188	3,461	3,726	3,968	4,041	4,456	4,521
South Dakota	1,485	1,407	1,399	1,253	1,174	1,280	1,416	1,603	1,560	1,706
Tennessee	6,007	6,975	7,440	7,763	7,342	7,599	7,694	8,558	8,929	9,290
Texas	28,947	30,109	29,613	29,625	30,358	29,990	30,738	32,150	32,960	31,427
Utah	2,886	2,701	2,813	2,709	2,960	2,704	2,838	2,954	2,611	2,488
Vermont	933	1,010	975	971	1,123	1,332	1,323	1,270	1,308	1,245
Virginia	5,414	4,846	4,579	4,327	4,597	4,735	4,890	4,795	4,915	4,925
Washington	10,136	9,533	9,606	10,208	10,630	10,665	10,959	11,355	11,399	10,909
West Virginia	4,112	4,475	4,562	4,389	4,556	4,959	5,973	6,633	7,138	7,269
Wisconsin	6,575	6,547	6,384	6,539	6,918	7,091	7,382	7,721	7,819	7,642
Wyoming	939	864	949	981	985	1,082	993	1,085	1,091	994
