Year	State	InCare	Adopted	TPR
2010	AL	5350.00	606.00	757.00
2010	AK	1791.00	336.00	381.00
2010	AZ	9930.00	2045.00	2174.00
2010	AR	3756.00	597.00	812.00
2010	CA	56202.00	6459.00	7230.00
2010	CO	6980.00	983.00	772.00
2010	CT	4456.00	687.00	614.00
2010	DE	739.00	67.00	149.00
2010	DC	2066.00	129.00	22.00
2010	FL	18743.00	3391.00	2752.00
2010	GA	6895.00	1196.00	822.00
2010	HI	1234.00	216.00	312.00
2010	ID	1462.00	313.00	297.00
2010	IL	18256.00	1214.00	2611.00
2010	IN	12276.00	1458.00	1980.00
2010	IA	6533.00	801.00	812.00
2010	KS	5979.00	694.00	1291.00
2010	KS	6983.00	754.00	1232.00
2010	LA	4453.00	641.00	727.00
2010	ME	1546.00	276.00	490.00
2010	MD	6098.00	644.00	236.00
2010	MA	8958.00	725.00	1518.00
2010	MI	16424.00	2597.00	4317.00
2010	MN	5063.00	627.00	1003.00
2010	MS	3582.00	355.00	451.00
2010	MO	8687.00	1170.00	1008.00
2010	MT	1723.00	191.00	350.00
2010	NE	5358.00	437.00	460.00
2010	NV	4807.00	644.00	1087.00
2010	NH	839.00	173.00	64.00
2010	NJ	6892.00	1275.00	969.00
2010	NM	1869.00	420.00	464.00
2010	NY	26783.00	2205.00	3348.00
2010	NC	8828.00	1615.00	1208.00
2010	ND	1078.00	145.00	131.00
2010	OH	11940.00	1438.00	2687.00
2010	OK	7846.00	1628.00	1913.00
2010	OR	9001.00	780.00	1068.00
2010	PA	21342.00	2365.00	1571.00
2010	RI	2086.00	184.00	177.00
2010	SC	4487.00	529.00	857.00
2010	SD	1485.00	133.00	337.00
2010	TN	6007.00	972.00	689.00
2010	TX	28947.00	4709.00	8748.00
2010	UT	2886.00	574.00	307.00
2010	VT	933.00	161.00	137.00
2010	VA	5414.00	747.00	1267.00
2010	WA	10136.00	1633.00	1741.00
2010	WV	4112.00	662.00	1013.00
2010	WI	6575.00	755.00	556.00
2010	WY	939.00	75.00	55.00
2010	Total	406755.00	53431.00	65974.00
2011	AL	5253.00	447.00	701.00
2011	AK	1835.00	293.00	389.00
2011	AZ	10883.00	2275.00	2220.00
2011	AR	3732.00	591.00	742.00
2011	CA	54754.00	5710.00	6928.00
2011	CO	6488.00	934.00	557.00
2011	CT	4926.00	611.00	577.00
2011	DE	845.00	95.00	145.00
2011	DC	1431.00	106.00	98.00
2011	FL	19760.00	2945.00	2943.00
2011	GA	7591.00	1071.00	834.00
2011	HI	1122.00	198.00	267.00
2011	ID	1354.00	259.00	262.00
2011	IL	17189.00	1217.00	1963.00
2011	IN	10779.00	1556.00	1397.00
2011	IA	6344.00	864.00	861.00
2011	KS	5852.00	781.00	1265.00
2011	KS	6659.00	824.00	1095.00
2011	LA	4531.00	641.00	809.00
2011	ME	1296.00	296.00	449.00
2011	MD	5460.00	539.00	238.00
2011	MA	8619.00	724.00	1495.00
2011	MI	15091.00	2506.00	3613.00
2011	MN	5085.00	572.00	961.00
2011	MS	3597.00	358.00	459.00
2011	MO	9220.00	1212.00	976.00
2011	MT	1794.00	238.00	314.00
2011	NE	5117.00	413.00	486.00
2011	NV	4638.00	821.00	938.00
2011	NH	742.00	144.00	25.00
2011	NJ	6440.00	1089.00	689.00
2011	NM	1859.00	351.00	441.00
2011	NY	24962.00	2214.00	3266.00
2011	NC	8601.00	1463.00	1126.00
2011	ND	1066.00	119.00	116.00
2011	OH	12069.00	1420.00	2484.00
2011	OK	8287.00	1294.00	1872.00
2011	OR	8531.00	657.00	1254.00
2011	PA	14315.00	2013.00	1277.00
2011	RI	1806.00	201.00	148.00
2011	SC	3821.00	588.00	674.00
2011	SD	1407.00	168.00	315.00
2011	TN	6975.00	772.00	638.00
2011	TX	30109.00	4718.00	9120.00
2011	UT	2701.00	577.00	337.00
2011	VT	1010.00	134.00	135.00
2011	VA	4846.00	755.00	954.00
2011	WA	9533.00	1583.00	1340.00
2011	WV	4475.00	698.00	1164.00
2011	WI	6547.00	717.00	643.00
2011	WY	864.00	73.00	65.00
2011	Total	392211.00	50845.00	62065.00
2012	AL	4561.00	587.00	543.00
2012	AK	1854.00	309.00	387.00
2012	AZ	13461.00	2275.00	2299.00
2012	AR	3711.00	703.00	543.00
2012	CA	54553.00	5938.00	6021.00
2012	CO	6003.00	905.00	508.00
2012	CT	4563.00	490.00	732.00
