State	Child Population	Number	Rate per 1,000
Alabama                 	 1,127,143 	 8,601 	7.6
Alaska                  	 188,441 	 2,898 	15.4
Arizona                 	 1,625,114 	 8,708 	5.4
Arkansas                	 710,474 	 11,105 	15.6
California              	 9,271,919 	 80,100 	8.6
Colorado                	 1,230,088 	 10,604 	8.6
Connecticut             	 803,314 	 10,012 	12.5
Delaware                	 204,668 	 2,466 	12.0
District of Columbia    	 105,334 	 2,377 	22.6
Florida                 	 3,994,431 	 51,920 	13.0
Georgia                 	 2,489,858 	 18,541 	7.4
Hawaii                  	 304,604 	 1,346 	4.4
Idaho                   	 428,116 	 1,470 	3.4
Illinois                	 3,098,125 	 25,832 	8.3
Indiana                 	 1,597,603 	 17,930 	11.2
Iowa                    	 724,370 	 11,028 	15.2
Kansas                  	 723,922 	 1,729 	2.4
Kentucky                	 1,020,955 	 16,994 	16.6
Louisiana               	 1,118,196 	 9,545 	8.5
Maine                   	 269,218 	 3,118 	11.6
Maryland                	 1,346,635 	 13,740 	10.2
Massachusetts           	 1,405,015 	 20,262 	14.4
Michigan                	 2,295,812 	 33,366 	14.5
Minnesota               	 1,277,526 	 4,342 	3.4
Mississippi             	 750,239 	 6,712 	8.9
Missouri                	 1,412,121 	 5,826 	4.1
Montana                 	 222,354 	 1,066 	4.8
Nebraska                	 460,065 	 4,307 	9.4
Nevada                  	 663,775 	 5,355 	8.1
New Hampshire           	 279,984 	 876 	3.1
New Jersey              	 2,042,810 	 8,238 	4.0
New Mexico              	 519,419 	 5,601 	10.8
New York                	 4,286,008 	 72,625 	16.9
North Carolina          	 2,287,593 	 22,940 	10.0
North Dakota            	 151,156 	 1,295 	8.6
Ohio                    	 2,693,092 	 30,601 	11.4
Oklahoma                	 936,159 	 7,836 	8.4
Oregon			
Pennsylvania            	 2,761,159 	 3,287 	1.2
Puerto Rico             	 876,494 	 10,271 	11.7
Rhode Island            	 219,536 	 3,131 	14.3
South Carolina          	 1,080,555 	 11,324 	10.5
South Dakota            	 203,156 	 1,353 	6.7
Tennessee               	 1,492,136 	 9,243 	6.2
Texas                   	 6,960,738 	 63,474 	9.1
Utah                    	 880,309 	 10,586 	12.0
Vermont                 	 126,018 	 630 	5.0
Virginia                	 1,853,546 	 5,964 	3.2
Washington              	 1,581,757 	 6,541 	4.1
West Virginia           	 384,794 	 4,000 	10.4
Wisconsin               	 1,326,208 	 4,750 	3.6
Wyoming                 	 134,937 	 703 	5.2
