State	  Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000	 Child Population  	 Number 	Rate per 1,000
Alabama	59427.00	1098.00	18.48	60441.00	617.00	10.21	59741.00	624.00	10.45	62324.00	533.00	8.55	61972.00	518.00	8.36	61211.00	472.00	7.71	60624.00	445.00	7.34	61008.00	427.00	7.00	60767.00	386.00	6.35	61498.00	387.00	6.29	64787.00	318.00	4.91	65374.00	351.00	5.37	63798.00	391.00	6.13	64460.00	446.00	6.92	63356.00	489.00	7.72	63132.00	553.00	8.76	65587.00	299.00	4.56	67636.00	198.00	2.93
Alaska	11177.00	379.00	33.91	10716.00	243.00	22.68	10918.00	233.00	21.34	10945.00	194.00	17.72	10787.00	213.00	19.75	10622.00	194.00	18.26	10314.00	182.00	17.65	10359.00	167.00	16.12	10260.00	154.00	15.01	10092.00	133.00	13.18	10169.00	112.00	11.01	10648.00	122.00	11.46	10135.00	109.00	10.75	9980.00	116.00	11.62	10145.00	92.00	9.07	10131.00	107.00	10.56	10297.00	63.00	6.12	10746.00	49.00	4.56
Arizona	87061.00	1765.00	20.27	87868.00	650.00	7.40	89135.00	638.00	7.16	92731.00	597.00	6.44	93389.00	500.00	5.35	91525.00	470.00	5.14	90991.00	447.00	4.91	90639.00	391.00	4.31	90540.00	413.00	4.56	88643.00	312.00	3.52	91965.00	306.00	3.33	92369.00	299.00	3.24	89965.00	310.00	3.45	89382.00	315.00	3.52	89323.00	365.00	4.09	88617.00	345.00	3.89	89841.00	350.00	3.90	91130.00	213.00	2.34
Arkansas	38025.00	1220.00	32.08	38583.00	663.00	17.18	38703.00	692.00	17.88	40214.00	688.00	17.11	40820.00	663.00	16.24	39919.00	688.00	17.23	39704.00	697.00	17.55	39433.00	632.00	16.03	39349.00	566.00	14.38	38909.00	539.00	13.85	40099.00	507.00	12.64	40428.00	488.00	12.07	39747.00	429.00	10.79	39809.00	480.00	12.06	39569.00	619.00	15.64	39102.00	633.00	16.19	38601.00	487.00	12.62	39460.00	328.00	8.31
California	506265.00	10571.00	20.88	499727.00	5515.00	11.04	497749.00	5300.00	10.65	516629.00	5135.00	9.94	518416.00	5002.00	9.65	511265.00	4763.00	9.32	509232.00	4424.00	8.69	505153.00	4283.00	8.48	500701.00	3918.00	7.83	493576.00	3720.00	7.54	507906.00	3522.00	6.93	514722.00	3484.00	6.77	509792.00	3682.00	7.22	514503.00	3607.00	7.01	524351.00	3661.00	6.98	534251.00	3664.00	6.86	548121.00	3333.00	6.08	559560.00	2417.00	4.32
Colorado	66477.00	1201.00	18.07	67215.00	809.00	12.04	67936.00	820.00	12.07	69671.00	712.00	10.22	70855.00	746.00	10.53	70570.00	677.00	9.59	70470.00	657.00	9.32	71042.00	611.00	8.60	70309.00	599.00	8.52	68708.00	543.00	7.90	69684.00	531.00	7.62	69354.00	446.00	6.43	67170.00	444.00	6.61	66131.00	442.00	6.68	65644.00	437.00	6.66	65425.00	370.00	5.66	66290.00	324.00	4.89	67137.00	176.00	2.62
Connecticut	37318.00	1113.00	29.82	38341.00	691.00	18.02	38910.00	692.00	17.78	40688.00	610.00	14.99	41839.00	631.00	15.08	42699.00	576.00	13.49	43381.00	565.00	13.02	44203.00	541.00	12.24	44302.00	512.00	11.56	44866.00	499.00	11.12	45661.00	506.00	11.08	47467.00	449.00	9.46	47948.00	529.00	11.03	47528.00	470.00	9.89	49036.00	447.00	9.12	48546.00	505.00	10.40	49553.00	349.00	7.04	51028.00	248.00	4.86
Delaware	11186.00	246.00	21.99	10980.00	180.00	16.39	10931.00	192.00	17.56	11312.00	170.00	15.03	11320.00	135.00	11.93	11402.00	138.00	12.10	11203.00	147.00	13.12	11403.00	164.00	14.38	11306.00	128.00	11.32	11012.00	108.00	9.81	11500.00	129.00	11.22	11715.00	100.00	8.54	11356.00	93.00	8.19	11441.00	107.00	9.35	11117.00	110.00	9.89	11459.00	121.00	10.56	11838.00	111.00	9.38	12187.00	84.00	6.89
District of Columbia	8923.00	238.00	26.67	7327.00	113.00	15.42	6655.00	112.00	16.83	6858.00	121.00	17.64	6400.00	112.00	17.50	5899.00	141.00	23.90	5783.00	168.00	29.05	5424.00	120.00	22.12	5118.00	125.00	24.42	5156.00	104.00	20.17	5126.00	140.00	27.31	5098.00	110.00	21.58	5012.00	151.00	30.13	4951.00	146.00	29.49	5119.00	141.00	27.54	5153.00	122.00	23.68	5469.00	129.00	23.59	5863.00	81.00	13.82
Florida	213621.00	6693.00	31.33	210583.00	4483.00	21.29	210480.00	4321.00	20.53	219641.00	4116.00	18.74	220517.00	3655.00	16.57	218546.00	3372.00	15.43	216562.00	3045.00	14.06	213868.00	2772.00	12.96	214695.00	2450.00	11.41	216192.00	2484.00	11.49	223249.00	2311.00	10.35	228314.00	2119.00	9.28	225624.00	1945.00	8.62	226387.00	1857.00	8.20	227999.00	1798.00	7.89	230252.00	1693.00	7.35	236114.00	1543.00	6.53	241787.00	1174.00	4.86
Georgia	133611.00	2507.00	18.76	134390.00	1347.00	10.02	134044.00	1311.00	9.78	140311.00	1219.00	8.69	141095.00	1252.00	8.87	140392.00	1166.00	8.31	138957.00	1113.00	8.01	139208.00	1041.00	7.48	138034.00	957.00	6.93	138655.00	871.00	6.28	141910.00	849.00	5.98	143597.00	825.00	5.75	138648.00	757.00	5.46	137457.00	820.00	5.97	136275.00	783.00	5.75	134967.00	753.00	5.58	137223.00	651.00	4.74	141084.00	306.00	2.17
Hawaii	18127.00	212.00	11.70	17688.00	97.00	5.48	17598.00	87.00	4.94	17675.00	97.00	5.49	17417.00	91.00	5.22	16829.00	93.00	5.53	17113.00	83.00	4.85	17192.00	56.00	3.26	16873.00	40.00	2.37	16057.00	50.00	3.11	16662.00	50.00	3.00	16406.00	51.00	3.11	16345.00	57.00	3.49	15982.00	57.00	3.57	16151.00	71.00	4.40	16468.00	55.00	3.34	16795.00	54.00	3.22	17226.00	38.00	2.21
Idaho	22761.00	207.00	9.09	23409.00	108.00	4.61	23898.00	107.00	4.48	24591.00	112.00	4.55	24677.00	82.00	3.32	24454.00	87.00	3.56	24575.00	71.00	2.89	24253.00	84.00	3.46	24038.00	69.00	2.87	23901.00	69.00	2.89	24228.00	61.00	2.52	24195.00	53.00	2.19	23756.00	79.00	3.33	23122.00	72.00	3.11	23188.00	54.00	2.33	23151.00	67.00	2.89	22784.00	50.00	2.19	23135.00	36.00	1.56
Illinois	165302.00	3435.00	20.78	162373.00	2118.00	13.04	162989.00	2009.00	12.33	168156.00	1920.00	11.42	169416.00	1795.00	10.60	169926.00	1739.00	10.23	170145.00	1530.00	8.99	172094.00	1463.00	8.50	170232.00	1377.00	8.09	170338.00	1266.00	7.43	173511.00	1154.00	6.65	175977.00	1071.00	6.09	173490.00	1009.00	5.82	174597.00	966.00	5.53	175059.00	952.00	5.44	177862.00	849.00	4.77	182306.00	715.00	3.92	184352.00	446.00	2.42
Indiana	84220.00	2568.00	30.49	84463.00	1206.00	14.28	84766.00	1267.00	14.95	87724.00	1155.00	13.17	88691.00	1189.00	13.41	88057.00	1047.00	11.89	87878.00	1003.00	11.41	88962.00	975.00	10.96	87916.00	874.00	9.94	88147.00	854.00	9.69	90793.00	776.00	8.55	92391.00	749.00	8.11	90410.00	748.00	8.27	90084.00	871.00	9.67	89196.00	784.00	8.79	90314.00	856.00	9.48	91220.00	605.00	6.63	92371.00	391.00	4.23
Iowa	38365.00	1172.00	30.55	39188.00	907.00	23.14	39632.00	967.00	24.40	40893.00	954.00	23.33	41275.00	869.00	21.05	40948.00	753.00	18.39	40061.00	693.00	17.30	40285.00	609.00	15.12	39922.00	561.00	14.05	39630.00	521.00	13.15	40263.00	506.00	12.57	40854.00	463.00	11.33	40042.00	410.00	10.24	40394.00	428.00	10.60	40081.00	391.00	9.76	40080.00	320.00	7.98	40637.00	296.00	7.28	41820.00	205.00	4.90
Kansas	39992.00	111.00	2.78	40709.00	100.00	2.46	40407.00	109.00	2.70	41431.00	115.00	2.78	41116.00	111.00	2.70	40919.00	117.00	2.86	40531.00	99.00	2.44	40493.00	118.00	2.91	40599.00	78.00	1.92	39364.00	102.00	2.59	40433.00	75.00	1.85	40927.00	88.00	2.15	39747.00	105.00	2.64	39717.00	102.00	2.57	38735.00	101.00	2.61	39294.00	97.00	2.47	39613.00	56.00	1.41	39895.00	37.00	0.93
Kentucky	56065.00	2371.00	42.29	55238.00	1357.00	24.57	55148.00	1372.00	24.88	57261.00	1283.00	22.41	57449.00	1178.00	20.51	56816.00	1095.00	19.27	56661.00	1004.00	17.72	56810.00	912.00	16.05	56001.00	840.00	15.00	55688.00	775.00	13.92	57379.00	776.00	13.52	58281.00	725.00	12.44	57388.00	663.00	11.55	56857.00	622.00	10.94	56065.00	577.00	10.29	56281.00	562.00	9.99	57343.00	501.00	8.74	58224.00	352.00	6.05
Louisiana	63289.00	1654.00	26.13	62294.00	644.00	10.34	62031.00	670.00	10.80	64485.00	616.00	9.55	64684.00	597.00	9.23	62172.00	564.00	9.07	61763.00	533.00	8.63	61234.00	496.00	8.10	60736.00	430.00	7.08	60437.00	440.00	7.28	62581.00	422.00	6.74	63693.00	406.00	6.37	61998.00	353.00	5.69	61147.00	404.00	6.61	60651.00	384.00	6.33	60073.00	378.00	6.29	61268.00	369.00	6.02	63660.00	181.00	2.84
Maine	12875.00	441.00	34.25	13185.00	222.00	16.84	13385.00	250.00	18.68	13975.00	227.00	16.24	14273.00	210.00	14.71	14534.00	196.00	13.49	14698.00	173.00	11.77	14688.00	176.00	11.98	14619.00	175.00	11.97	14713.00	136.00	9.24	15148.00	142.00	9.37	15524.00	117.00	7.54	15732.00	157.00	9.98	15733.00	129.00	8.20	15934.00	114.00	7.15	16037.00	112.00	6.98	16624.00	84.00	5.05	17541.00	45.00	2.57
Maryland	73059.00	1602.00	21.93	72290.00	816.00	11.29	72141.00	952.00	13.20	74279.00	907.00	12.21	74384.00	873.00	11.74	73544.00	864.00	11.75	73217.00	808.00	11.04	73763.00	749.00	10.15	72616.00	713.00	9.82	72983.00	661.00	9.06	75506.00	666.00	8.82	76114.00	617.00	8.11	75553.00	615.00	8.14	75178.00	595.00	7.91	76054.00	627.00	8.24	76805.00	630.00	8.20	78863.00	543.00	6.89	80286.00	434.00	5.41
Massachusetts	73343.00	2427.00	33.09	71739.00	1502.00	20.94	71595.00	1424.00	19.89	74305.00	1366.00	18.38	74669.00	1273.00	17.05	74835.00	1211.00	16.18	75704.00	1229.00	16.23	77085.00	1108.00	14.37	77527.00	1029.00	13.27	76845.00	1032.00	13.43	78648.00	913.00	11.61	80273.00	921.00	11.47	80347.00	902.00	11.23	80803.00	932.00	11.53	81755.00	837.00	10.24	83307.00	785.00	9.42	85514.00	814.00	9.52	86721.00	507.00	5.85
Michigan	113146.00	5119.00	45.24	114650.00	2317.00	20.21	115544.00	2187.00	18.93	119282.00	2202.00	18.46	121768.00	2081.00	17.09	122320.00	1980.00	16.19	123275.00	1845.00	14.97	125745.00	1834.00	14.59	125152.00	1576.00	12.59	126881.00	1523.00	12.00	131703.00	1582.00	12.01	133587.00	1492.00	11.17	133256.00	1439.00	10.80	133832.00	1462.00	10.92	134959.00	1391.00	10.31	136274.00	1415.00	10.38	140998.00	1198.00	8.50	143440.00	676.00	4.71
Minnesota	68312.00	535.00	7.83	69210.00	284.00	4.10	69602.00	301.00	4.32	72282.00	315.00	4.36	72854.00	288.00	3.95	71648.00	287.00	4.01	71956.00	268.00	3.72	72382.00	275.00	3.80	70499.00	230.00	3.26	69316.00	229.00	3.30	70963.00	194.00	2.73	71358.00	189.00	2.65	70181.00	201.00	2.86	70083.00	189.00	2.70	70556.00	170.00	2.41	70560.00	155.00	2.20	72165.00	133.00	1.84	73599.00	88.00	1.20
Mississippi	40028.00	701.00	17.51	40411.00	433.00	10.71	41354.00	430.00	10.40	43430.00	397.00	9.14	44027.00	440.00	9.99	41747.00	386.00	9.25	41583.00	385.00	9.26	41037.00	343.00	8.36	40470.00	340.00	8.40	40265.00	357.00	8.87	42188.00	345.00	8.18	43065.00	318.00	7.38	41627.00	353.00	8.48	41461.00	324.00	7.81	40888.00	315.00	7.70	41420.00	339.00	8.18	42216.00	305.00	7.22	43022.00	189.00	4.39
